date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:13	15222/15222	---M--	200	added ('OK')	image/png	etag:%225f1808fa-3b76%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/news_bg.png	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/news_bg.png	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:13	132844/132844	---M--	200	added ('OK')	image/jpeg	etag:%225f1808f9-206ec%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/new-img-1.jpg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/new-img-1.jpg	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:14	80535/80535	---M--	200	added ('OK')	image/jpeg	etag:%225f1808fa-13a97%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/new-img-3.jpg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/new-img-3.jpg	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:14	2127/2127	---M--	200	added ('OK')	image/png	etag:%225f1808fb-84f%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/partners-logo-5.png	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/partners-logo-5.png	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:14	46171/46171	---M--	200	added ('OK')	image/png	etag:%225f1808f5-b45b%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/getintouch_bg.png	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/getintouch_bg.png	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:14	123413/123413	---M--	200	added ('OK')	image/jpeg	etag:%225f1808f9-1e215%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/new-img-2.jpg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/new-img-2.jpg	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:14	1760/1760	---M--	200	added ('OK')	image/svg+xml	etag:%225f1808e3-6e0%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/Logo_white.svg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/Logo_white.svg	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:15	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/My%20Web%20Sites/demo1/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:15	3720/3720	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2013%20Sep%202023%2002:05:15%20GMT	https://demo.artureanec.com/html/cryptoland/demo_5/js/jquery-2.2.4.min.js	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/js/jquery-2.2.4.min.js	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:16	3720/3720	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2013%20Sep%202023%2002:05:15%20GMT	https://demo.artureanec.com/html/cryptoland/demo_5/libs/OwlCarousel/dist/assets/owl.video.play.png	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/libs/OwlCarousel/dist/assets/owl.video.play.png	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:16	662896/662896	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f180907-a1d70%22	https://demo.artureanec.com/html/cryptoland/demo_5/js/scripts.min.js	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/js/scripts.min.js	(from https://demo.artureanec.com/html/cryptoland/demo_5/index.html)
21:05:16	82182/82182	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f1808db-14106%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Light.eot	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Light.eot	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:16	82182/82182	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f1808db-14106%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Light.eot?	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Lightd41d.eot	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:17	32100/32100	---M--	200	added ('OK')	font/woff	etag:%225f1808dc-7d64%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Light.woff	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Light.woff	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:17	81900/81900	---M--	200	added ('OK')	application/octet-stream	etag:%225f1808dc-13fec%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Light.ttf	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/Gilroy-Light/Gilroy-Light.ttf	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:17	7020/7020	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f1808de-1b6c%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.eot	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.eot	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:17	4128/4128	---M--	200	added ('OK')	font/woff	etag:%225f1808e0-1020%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.woff	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.woff	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:17	6852/6852	---M--	200	added ('OK')	application/octet-stream	etag:%225f1808df-1ac4%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.ttf	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.ttf	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:18	3304/3304	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1808de-ce8%22	https://demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.svg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/fonts/fontello/fontello.svg	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:18	449/449	---M--	200	added ('OK')	image/svg+xml	etag:%225f1808ed-1c1%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/check.svg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/check.svg	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:18	2872/2872	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1808e3-b38%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/Logog_blue.svg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/Logog_blue.svg	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:18	426/426	---M--	200	added ('OK')	image/svg+xml	etag:%225f1808ee-1aa%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/down-chevron.svg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/down-chevron.svg	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:19	721/721	---M--	200	added ('OK')	image/svg+xml	etag:%225f1808e7-2d1%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/arr-right.svg	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/arr-right.svg	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
21:05:19	12588/12588	---M--	200	added ('OK')	image/png	etag:%225f1808ed-312c%22	https://demo.artureanec.com/html/cryptoland/demo_5/img/doc-bg.png	C:/My%20Web%20Sites/demo1/demo.artureanec.com/html/cryptoland/demo_5/img/doc-bg.png	(from https://demo.artureanec.com/html/cryptoland/demo_5/css/main.min.css)
